UF,MG
Cidade,ACAIACA
Nome Posto,ACAIACA - JUSANTE
Latitude,-20.3625
Longitude,-43.14388888888889
Codigo,2043009
Qtd. Anos,79
Ano,Maxima
1941,56.2
1942,61.6
1943,76
1944,62.2
1945,79.2
1946,96
1947,60.4
1948,102.8
1949,62
1950,58.2
1951,89.8
1952,97.6
1953,80.2
1954,70.4
1955,73.5
1956,73
1957,99.4
1958,95.4
1959,94.2
1960,82.1
1961,80
1962,62.3
1963,75.8
1964,106.2
1965,60.7
1966,122.8
1967,75.4
1968,61.2
1969,59.2
1970,137.2
1971,58.4
1972,60
1973,86
1974,78
1975,70
1976,51
1977,53.2
1978,67.5
1979,79.1
1980,76.9
1981,111.4
1982,142.2
1983,79
1984,77.9
1985,70.8
1986,57.8
1987,57.4
1988,52.8
1989,69.8
1990,56.7
1991,90.3
1992,127.2
1993,96.9
1994,94.1
1995,91.5
1996,94.3
1997,103
1998,46.2
1999,98.6
2000,60.4
2001,61.5
2002,72.3
2003,76.4
2004,157.3
2005,78.2
2006,54.1
2007,62.1
2008,93.7
2009,66.5
2010,88.6
2011,88.8
2012,120.7
2013,60.5
2014,58.6
2015,72.8
2016,99.1
2017,70.9
2018,70.8
2019,52.7
