UF,MG
Cidade,TEOFILO OTONI
Nome Posto,PEDRO VERSIANI (EFBM)
Latitude,-17.880277777777778
Longitude,-41.31472222222222
Codigo,1741007
Qtd. Anos,53
Ano,Maxima
1967,17.5
1968,54
1969,64
1970,73.5
1971,60.3
1972,65
1973,65
1974,75
1975,96
1976,58.3
1977,57
1978,60.8
1979,75.8
1980,75.5
1981,100
1982,85.9
1983,129.2
1984,187.5
1985,180.1
1986,119.1
1987,182
1988,125
1989,38
1990,142.1
1991,100
1992,150.1
1993,110
1994,130.1
1995,82
1996,58.6
1997,52.1
1998,76
1999,66
2000,77.8
2001,68.5
2002,102.1
2003,56.7
2004,128
2005,111.5
2006,168.7
2007,86.4
2008,76
2009,98
2010,96.3
2011,79.5
2012,98.2
2013,109.2
2014,83.7
2015,48.2
2016,110.2
2017,48.8
2018,120.2
2019,72.8
