UF,MG
Cidade,VAZANTE
Nome Posto,VAZANTE
Latitude,-18.005
Longitude,-46.91111111111111
Codigo,1846015
Qtd. Anos,62
Ano,Maxima
1958,25.1
1959,72.2
1960,56.8
1961,45.8
1962,40.4
1963,38.4
1964,35.8
1965,35.8
1966,35.2
1967,20.4
1968,37.2
1969,45.4
1970,30.2
1971,76
1972,60
1973,70
1974,93.8
1975,61
1976,75.3
1977,61.2
1978,119
1979,79.2
1980,75
1981,100
1982,80
1983,100
1984,75
1985,111.2
1986,95
1987,97.6
1988,75
1989,75
1990,87
1991,197
1992,100
1993,77.8
1994,95.2
1995,63.2
1996,92
1997,80
1998,100
1999,75.4
2000,146.3
2001,98.8
2002,75.5
2003,97.3
2004,75.6
2005,108
2006,57.2
2007,81.7
2008,89.6
2009,110
2010,73.5
2011,116.2
2012,66.7
2013,130
2014,111
2015,80.4
2016,84.6
2017,175
2018,129.5
2019,61.3
