UF,MG
Cidade,PATOS DE MINAS
Nome Posto,MAJOR PORTO
Latitude,-18.706944444444442
Longitude,-46.036944444444444
Codigo,1846003
Qtd. Anos,52
Ano,Maxima
1968,61.3
1969,89.4
1970,86
1971,41.7
1972,51.3
1973,87.4
1974,106.4
1975,53.6
1976,70.6
1977,69.6
1978,146.6
1979,83
1980,67
1981,98
1982,98
1983,96
1984,83
1985,75
1986,70
1987,71.2
1988,63
1989,58.6
1990,39
1991,90
1992,95
1993,60.1
1994,70
1995,49
1996,43.2
1997,50.2
1998,79.3
1999,58.9
2000,71.7
2001,71.4
2002,55.2
2003,55.4
2004,64.1
2005,54.5
2006,97.7
2007,81.3
2008,150
2009,82.7
2010,70.8
2011,178.2
2012,70.2
2013,65.8
2014,70.3
2015,59.9
2016,106.4
2017,62.2
2018,67.8
2019,73.4
