UF,MG
Cidade,IPANEMA
Nome Posto,IPANEMA
Latitude,-19.79888888888889
Longitude,-41.70611111111111
Codigo,1941000
Qtd. Anos,78
Ano,Maxima
1941,68.4
1942,88
1943,64.2
1944,66.8
1945,148.4
1946,86
1947,88
1948,96.6
1949,84.2
1950,85.8
1951,78.4
1952,102.5
1953,62.2
1954,93.6
1955,65.2
1956,68.6
1957,76.9
1958,93.3
1959,42.2
1960,87.6
1961,96.8
1962,103
1963,39.4
1964,99
1965,91
1966,68.4
1967,60.4
1968,47
1969,100
1970,64.5
1971,65
1972,64
1973,110.7
1974,81.2
1975,122.6
1976,64.2
1977,65.3
1978,84
1979,216.4
1980,111.2
1981,213.2
1982,210
1983,72.2
1984,93.2
1985,85
1986,97.4
1987,87.2
1988,67.8
1989,704
1990,72.4
1991,83.4
1992,91.2
1993,55
1994,78.4
1995,60.2
1996,79.8
1997,90.2
1998,84.2
1999,109.6
2000,111.2
2001,74.5
2002,71.5
2003,97.5
2004,121.3
2005,93.7
2006,49
2007,76.3
2008,52
2009,72.6
2010,52.4
2011,70
2012,43
2013,106.1
2014,168.6
2015,54
2016,85.4
2017,89.1
2018,65.6
