UF,MG
Cidade,BRAS PIRES
Nome Posto,BRAZ PIRES
Latitude,-20.8475
Longitude,-43.24194444444444
Codigo,2043026
Qtd. Anos,52
Ano,Maxima
1967,43.3
1968,77.6
1969,61.1
1970,40
1971,69
1972,42
1973,58
1974,59
1975,53
1976,76
1977,48
1978,77
1979,112
1980,87
1981,59
1982,59.1
1983,75
1984,54
1985,79
1986,59
1987,57.2
1988,59
1989,97
1990,48
1991,107
1993,31
1994,83.3
1995,78
1996,73.3
1997,88.2
1998,71
1999,64.3
2000,78.3
2001,80.1
2002,54.8
2003,64.4
2004,80
2005,84
2006,87.4
2007,69
2008,102
2009,56
2010,71.8
2011,64.2
2012,151.4
2013,112.2
2014,48
2015,93.6
2016,46
2017,42.2
2018,91
2019,50
