UF,MG
Cidade,PATROCINIO
Nome Posto,CHARQUEADA DO PATROCINIO
Latitude,-18.93
Longitude,-46.96666666666667
Codigo,1846002
Qtd. Anos,54
Ano,Maxima
1966,50
1967,88.2
1968,83.2
1969,79.4
1970,94.2
1971,104.3
1972,89.2
1973,78.2
1974,89.2
1975,100.2
1976,92.2
1977,97.2
1978,92.2
1979,99
1980,95.1
1981,95.1
1982,93.1
1983,92.7
1984,65.1
1985,100.2
1986,57.2
1987,35.9
1988,37.9
1989,80.7
1990,19.2
1991,40
1992,52
1993,53.3
1994,59.1
1995,67.5
1996,87.9
1997,101.5
1998,97
1999,69.8
2000,91.1
2001,94.2
2002,103.8
2003,83.8
2004,71.7
2005,66.7
2006,84.6
2007,133.5
2008,81.1
2009,93.7
2010,67.9
2011,82.5
2012,108
2013,65.1
2014,137.5
2015,111.3
2016,90
2017,78.3
2018,70
2019,70
