UF,MG
Cidade,CARMO DA MATA
Nome Posto,CARMO DA MATA (ETA - COPASA)
Latitude,-20.5625
Longitude,-44.8675
Codigo,2044042
Qtd. Anos,43
Ano,Maxima
1977,55.3
1978,74.4
1979,77.4
1980,84
1981,66.9
1982,108.1
1983,138.6
1984,55.4
1985,113.1
1986,117.4
1987,60.6
1988,56
1989,60.5
1990,63.3
1991,81.3
1992,101
1993,60.8
1994,115.6
1995,66.9
1996,111.4
1997,102.1
1998,156.5
1999,77
2000,86.5
2001,75.6
2002,51.4
2003,86.5
2004,108.8
2005,85.6
2006,51.1
2007,67.7
2008,161.2
2009,77.3
2010,67.9
2011,102.2
2012,95.2
2013,41.8
2014,67
2015,81
2016,82.9
2017,96.6
2018,68.2
2019,104.5
