UF,MG
Cidade,BOM JARDIM DE MINAS
Nome Posto,TABUAO
Latitude,-21.987222222222222
Longitude,-44.032222222222224
Codigo,2144016
Qtd. Anos,38
Ano,Maxima
1982,100
1983,75.8
1984,62.8
1985,96.8
1986,82.8
1987,70.2
1988,115.2
1989,63.4
1990,55.4
1991,86.2
1992,110.2
1993,60.2
1994,87
1995,88.2
1996,102.6
1997,93.2
1998,63.8
1999,93.2
2000,96.4
2001,134.5
2002,126.3
2003,69.8
2004,72.6
2005,59.8
2006,62.1
2007,66.2
2008,75
2009,69.3
2010,64.6
2011,63.5
2012,100
2013,97.6
2014,39.2
2015,40
2016,84
2017,60
2018,56.3
2019,31
