UF,MG
Cidade,SERRA DO SALITRE
Nome Posto,SERRA DO SALITRE
Latitude,-19.11277777777778
Longitude,-46.68833333333333
Codigo,1946008
Qtd. Anos,44
Ano,Maxima
1974,51
1975,61
1976,56.2
1977,82.1
1978,140
1979,79
1980,100.5
1981,80
1982,104
1983,227
1984,44
1985,102
1986,71
1987,78
1988,57
1989,125
1990,45
1993,69
1994,75
1995,79
1996,70
1997,101.4
1998,62.7
1999,122.9
2000,78.7
2001,67.9
2002,66.4
2003,44.2
2004,96.7
2005,119.7
2006,88.7
2007,78.3
2008,87
2009,73.7
2010,54
2011,99.7
2012,64.1
2013,94.5
2014,65
2015,89.7
2016,74.3
2017,80.6
2018,72
2019,66.1
