UF,MG
Cidade,BRASILIA DE MINAS
Nome Posto,BRASILIA DE MINAS
Latitude,-16.2
Longitude,-44.43333333333333
Codigo,1644002
Qtd. Anos,38
Ano,Maxima
1961,27.5
1962,40
1963,38
1964,37.1
1965,97.3
1966,84.1
1967,105.6
1968,55.4
1969,28.3
1970,23.2
1971,72.8
1972,77.6
1973,70.6
1974,72.8
1975,84.4
1976,49.4
1977,49
1978,99
1979,75.2
1980,73.6
1981,58.8
1982,61.8
1983,68.6
1984,71
1985,83
1986,46
1987,83.2
1988,54
1989,68.4
1990,42.2
1991,61
1993,73.8
1994,44.8
1995,79.8
1996,54.4
1997,75
1998,54
1999,84
