UF,MG
Cidade,BALDIM
Nome Posto,FAZENDA CARAIBAS
Latitude,-19.119722222222222
Longitude,-43.837500000000006
Codigo,1943042
Qtd. Anos,46
Ano,Maxima
1974,56.4
1975,58.4
1976,46
1977,79.2
1978,90.6
1979,77
1980,57.4
1981,134.4
1982,76
1983,60.8
1984,100
1985,116
1986,60
1987,61.3
1988,88
1989,62
1990,105.4
1991,184
1992,100
1993,98.8
1994,119.4
1995,70.6
1996,60.5
1997,111.3
1998,70
1999,70
2000,103.4
2001,101.5
2002,68.9
2003,53.1
2004,72.6
2005,67.3
2006,101
2007,62.3
2008,62.6
2009,72.1
2010,92
2011,60.6
2012,68.2
2013,126.7
2014,61.2
2015,61.7
2016,98.7
2017,70.3
2018,88.5
2019,46.1
