UF,MG
Cidade,PASSA VINTE
Nome Posto,ZELINDA
Latitude,-22.243055555555557
Longitude,-44.26361111111111
Codigo,2244036
Qtd. Anos,85
Ano,Maxima
1935,35.6
1936,87.3
1937,70.6
1938,96
1939,92.6
1940,120.4
1941,103.7
1942,60.4
1943,60
1944,64
1945,124.2
1946,68.7
1947,90.7
1948,98.3
1949,98.7
1950,98.4
1951,105.8
1952,98.2
1953,98.5
1954,89.2
1955,56.3
1956,73.2
1957,38.2
1958,97.2
1959,68
1960,100.4
1961,38.4
1962,151.2
1963,113.1
1964,156.3
1965,81.1
1966,82.6
1967,117.8
1968,95.4
1969,54
1970,96
1971,120.2
1972,59
1973,102.2
1974,83.2
1975,90
1976,70.3
1977,123
1978,112.4
1979,105
1980,70
1981,93
1982,66.2
1983,83
1984,62
1985,93
1986,105.8
1987,99
1988,82.8
1989,72.8
1990,72
1991,110.7
1992,82
1993,64.2
1994,67
1995,100.8
1996,127.2
1997,116.6
1998,68.4
1999,87.2
2000,67
2001,72.4
2002,100.8
2003,187.2
2004,122.3
2005,184.5
2006,98
2007,53.3
2008,97.3
2009,112.4
2010,104.2
2011,89.2
2012,74.5
2013,100
2014,70.2
2015,52
2016,58.5
2017,45.7
2018,100.3
2019,50.7
