UF,MG
Cidade,TAPIRAI
Nome Posto,TAPIRAI - JUSANTE
Latitude,-19.879444444444445
Longitude,-46.032777777777774
Codigo,1946000
Qtd. Anos,79
Ano,Maxima
1941,71.8
1942,75
1943,70.4
1944,74.8
1945,87.4
1946,69
1947,144
1948,80.1
1949,96
1950,74.2
1951,76.1
1952,93.5
1953,70.2
1954,47
1955,93.4
1956,90.6
1957,96.6
1958,92.2
1959,56.1
1960,90.1
1961,79.1
1962,73.2
1963,80
1964,63
1965,59.1
1966,116
1967,91
1968,129.6
1969,88.4
1970,80
1971,77.3
1972,70.2
1973,72.4
1974,49
1975,126.1
1976,62.3
1977,86.4
1978,93
1979,68.1
1980,73.4
1981,68.4
1982,82.1
1983,81
1984,70.1
1985,104
1986,73
1987,105
1988,68.3
1989,91
1990,81.3
1991,68.4
1992,71.4
1993,61.4
1994,64.3
1995,84.7
1996,69.9
1997,107.8
1998,74.3
1999,64.3
2000,104.3
2001,91.4
2002,99.2
2003,89.7
2004,88.3
2005,93.7
2006,73.7
2007,91.5
2008,113.1
2009,88.3
2010,78.6
2011,184.7
2012,63.2
2013,83.9
2014,101.5
2015,94.3
2016,91.2
2017,56.3
2018,90
2019,80
