UF,MG
Cidade,SANTA RITA DO SAPUCAI
Nome Posto,SANTA RITA DO SAPUCAI
Latitude,-22.250833333333333
Longitude,-45.70888888888889
Codigo,2245000
Qtd. Anos,75
Ano,Maxima
1941,57
1942,63.6
1943,58.9
1944,78.7
1945,123.4
1946,70.8
1947,70.4
1948,60
1949,109
1950,98.4
1951,124.4
1952,90
1953,86.1
1954,45.2
1955,72.9
1956,45.2
1957,85.2
1958,75.3
1959,45.3
1961,75.2
1962,90.2
1963,35.2
1964,50.2
1965,55.3
1966,100.2
1967,60.3
1968,61.3
1969,89
1970,80.7
1971,37.2
1972,53
1973,100.6
1974,88
1975,38
1976,72.4
1977,47
1978,126.4
1979,86.2
1980,99.2
1981,58.6
1982,74.2
1983,94.4
1984,52.4
1985,89.3
1986,129.3
1987,59.2
1988,75.2
1989,82.7
1990,70.2
1994,46.4
1995,23.5
1996,74
1997,68
1998,91
1999,115
2000,185.2
2001,51.5
2002,42.7
2003,46.2
2004,69.9
2005,83.8
2006,55.1
2007,62.4
2008,42.6
2009,107.3
2010,46.1
2011,101.1
2012,56.3
2013,64.3
2014,57.3
2015,131
2016,79.1
2017,52.7
2018,60.6
2019,82.7
