UF,MG
Cidade,CURVELO
Nome Posto,CURVELO
Latitude,-18.766666666666666
Longitude,-44.43333333333333
Codigo,1844015
Qtd. Anos,76
Ano,Maxima
1912,49
1913,65.6
1914,54
1915,75
1916,64
1917,56.8
1918,64.6
1919,63
1920,63.4
1921,65.8
1922,47
1923,62
1924,64
1925,65
1926,86
1927,65.4
1928,65.6
1929,64.6
1930,61.8
1931,65.6
1932,70.2
1933,68
1934,67
1935,70
1937,78.2
1938,75
1939,84.4
1940,66
1941,86.6
1942,83.8
1943,133.6
1944,49
1945,101.4
1946,61.8
1947,60.9
1948,85
1949,91.1
1950,121.2
1951,82.1
1952,82.5
1953,62.4
1954,53.3
1955,60.9
1956,115.1
1957,95
1958,58.3
1959,57.7
1960,85.3
1961,90
1962,54.2
1963,64.2
1964,69.8
1965,90.2
1966,73
1967,88.2
1968,55.7
1969,123.6
1970,49.8
1971,76.8
1972,72
1973,72.8
1974,58.6
1975,71
1978,77
1979,73.4
1980,26.4
1981,62
1982,57
1990,52
1992,129
1993,93
1994,139
1995,62
1996,88
1997,148
1998,68
