UF,MG
Cidade,RIO POMBA
Nome Posto,USINA ITUERE
Latitude,-21.309444444444445
Longitude,-43.202222222222225
Codigo,2143000
Qtd. Anos,85
Ano,Maxima
1935,45.5
1936,63
1937,56.6
1938,59.3
1939,65.5
1940,58.6
1941,58.3
1942,76.2
1943,60.3
1944,59.7
1945,59.2
1946,55
1947,65.4
1948,85.8
1949,60.5
1950,60
1951,60.6
1952,62
1953,61.5
1954,58.5
1955,53.7
1956,66.7
1957,65.7
1958,66.4
1959,59.5
1960,62.3
1961,64.1
1962,60.1
1963,58.2
1964,58.4
1965,71.2
1966,58.6
1967,59.8
1968,69
1969,75.6
1970,62
1971,48.4
1972,60.3
1973,71
1974,85.4
1975,81.4
1976,66.2
1977,89.2
1978,76
1979,109.8
1980,67
1981,92.4
1982,88.2
1983,179.2
1984,53.6
1985,108
1986,58.1
1987,71.6
1988,71
1989,112
1990,104.4
1991,95.4
1992,82.2
1993,55
1994,83.8
1995,85
1996,95.8
1997,99.1
1998,67.8
1999,97.6
2000,88.2
2001,78.9
2002,91
2003,128.7
2004,119.6
2005,92.4
2006,48.9
2007,87.7
2008,108.2
2009,86.4
2010,116.3
2011,70.5
2012,59
2013,73.3
2014,93.6
2015,51.4
2016,110.9
2017,53.6
2018,63.7
2019,62.2
