UF,MG
Cidade,PITANGUI
Nome Posto,VELHO DA TAIPA
Latitude,-19.69611111111111
Longitude,-44.92944444444444
Codigo,1944021
Qtd. Anos,57
Ano,Maxima
1959,62.2
1960,88.4
1961,70.4
1962,65.1
1963,52.6
1964,83.5
1965,84.8
1966,67
1967,70.2
1968,107
1969,114.8
1970,53.6
1971,80
1972,101.5
1973,157
1974,53.2
1975,75
1976,60.9
1977,103.4
1978,70.4
1979,123.7
1980,60.2
1981,42.2
1982,71.6
1983,86.4
1984,68.1
1985,94.3
1986,76.3
1987,53.1
1988,126.3
1989,71.6
1990,68.4
1991,64.6
1992,87.6
1993,50
1994,86.2
1995,90
1996,70.8
1997,96.9
1998,87.4
1999,127.6
2000,68.2
2001,82.4
2002,92.9
2003,66
2004,83.5
2005,84
2006,93.6
2007,86.5
2008,140
2009,95.5
2010,70.3
2011,144.7
2012,48
2017,59.5
2018,55
2019,82.7
