UF,MG
Cidade,GUIMARANIA
Nome Posto,GUIMARANIA
Latitude,-18.849722222222223
Longitude,-46.80083333333333
Codigo,1846004
Qtd. Anos,46
Ano,Maxima
1974,46
1975,45.4
1976,54
1977,55.4
1978,66.2
1979,116
1980,108
1981,77.4
1982,70.6
1983,105
1984,41.5
1985,59
1986,85
1987,139.3
1988,89
1989,140
1990,56.8
1991,40.8
1992,40.8
1993,10
1994,10
1995,17.6
1996,10
1997,58.5
1998,60
1999,48.3
2000,75.7
2001,74.5
2002,57.3
2003,94.2
2004,94.4
2005,73.8
2006,97.7
2007,63
2008,129.4
2009,57.8
2010,82.8
2011,84.9
2012,88.7
2013,77.1
2014,66.4
2015,74.8
2016,77.8
2017,77.8
2018,65.7
2019,53.7
