UF,MG
Cidade,CANDEIAS
Nome Posto,CANDEIAS
Latitude,-20.76
Longitude,-45.274166666666666
Codigo,2045020
Qtd. Anos,45
Ano,Maxima
1975,6.2
1976,72
1977,66
1978,71
1979,76
1980,63
1981,75
1982,86
1983,72
1984,112.9
1985,119.7
1986,63.5
1987,64.2
1988,74.8
1989,85.2
1990,67.4
1991,62.4
1992,112.6
1993,60.9
1994,79.6
1995,58
1996,70
1997,132.8
1998,45
1999,88.4
2000,92.5
2001,114.8
2002,76.7
2003,54.6
2004,112.3
2005,132.1
2006,62.2
2007,74.6
2008,76.2
2009,95.9
2010,88.3
2011,88.1
2012,112.8
2013,125.1
2014,51.2
2015,81.3
2016,91.7
2017,84.1
2018,60.6
2019,53.1
