UF,MG
Cidade,MATEUS LEME
Nome Posto,ALTO DA BOA VISTA
Latitude,-20.105555555555558
Longitude,-44.401111111111106
Codigo,2044021
Qtd. Anos,48
Ano,Maxima
1972,76.5
1973,105
1974,51
1975,80.5
1976,64.6
1977,45.4
1978,71.6
1979,94.2
1980,80.2
1981,81.1
1982,67.8
1983,111.8
1984,78
1985,87.8
1986,107
1987,72
1988,72.8
1989,106.4
1990,86.8
1991,112.8
1992,93.4
1993,62
1994,124.8
1995,82.5
1996,97
1997,103
1998,70.8
1999,86.5
2000,95.1
2001,96.3
2002,62.6
2003,141.4
2004,73.5
2005,69.5
2006,62.8
2007,66.8
2008,87.3
2009,74.2
2010,80.3
2011,76
2012,95.1
2013,77.5
2014,43.8
2015,51.3
2016,105.4
2017,62
2018,62.2
2019,72.3
