UF,MG
Cidade,CASCALHO RICO
Nome Posto,CASCALHO RICO
Latitude,-18.578888888888887
Longitude,-47.87916666666667
Codigo,1847007
Qtd. Anos,45
Ano,Maxima
1975,69
1976,74.2
1977,65.6
1978,122.2
1979,97.3
1980,93
1981,80.4
1982,80.1
1983,93
1984,74.4
1985,148
1986,75.2
1987,98.3
1988,98.2
1989,95.1
1990,91
1991,97
1992,127.7
1993,168.2
1994,183.4
1995,111.6
1996,78.6
1997,107.8
1998,68.4
1999,82.3
2000,109.4
2001,68.6
2002,98
2003,65.3
2004,104
2005,198.5
2006,69.3
2007,94.5
2008,72.7
2009,78.9
2010,84.3
2011,97.1
2012,86.1
2013,123
2014,95.8
2015,114.2
2016,82.4
2017,82.9
2018,88.5
2019,54.4
