UF,MG
Cidade,GUANHAES
Nome Posto,GUANHAES
Latitude,-18.772222222222222
Longitude,-42.93111111111111
Codigo,1842007
Qtd. Anos,69
Ano,Maxima
1945,4.9
1946,6.2
1953,66
1954,85.2
1955,99.1
1956,92.2
1957,86.9
1958,53.8
1959,117.1
1960,86.3
1961,69.9
1962,82.9
1963,76
1964,83.9
1965,124
1966,57.3
1967,74.8
1968,106
1969,86.9
1970,88
1971,90
1972,75
1973,95
1974,63
1975,61
1976,89.6
1977,74.6
1978,75.8
1979,68.8
1980,94.8
1981,102.8
1982,89.4
1983,97
1984,89
1985,64.6
1986,50.4
1987,66
1988,134.2
1989,62.6
1990,69.2
1991,95
1992,62.4
1993,58.2
1994,76.7
1995,105
1996,70.4
1997,82.2
1998,77.8
1999,98.8
2000,84.2
2001,59
2002,96.5
2003,92
2004,87.5
2005,119
2006,86.6
2007,89.4
2008,96.8
2009,84.7
2010,60.2
2011,62
2012,67
2013,84
2014,70
2015,86.3
2016,176.7
2017,50
2018,97
2019,70.1
