UF,MG
Cidade,ITURAMA
Nome Posto,ITURAMA
Latitude,-19.72472222222222
Longitude,-50.19166666666666
Codigo,1950000
Qtd. Anos,45
Ano,Maxima
1975,32
1976,96.6
1977,94
1978,95.4
1979,75
1980,65
1981,96
1982,60
1983,73
1984,56
1985,75
1986,59
1987,91.2
1988,76
1989,77
1990,75
1991,79
1992,200.5
1993,98
1994,70.1
1995,100
1996,85
1997,71.5
1998,63
1999,105.5
2000,90.2
2001,50.2
2002,85.4
2003,119
2004,80
2005,68.9
2006,60.6
2007,59.3
2008,109.8
2009,133.5
2010,85.5
2011,91
2012,99
2013,62.9
2014,52.8
2015,94.5
2016,80.1
2017,82.3
2018,85
2019,71.2
