UF,MG
Cidade,NOVA LIMA
Nome Posto,REPRESA DO MIGUELAO (MMV)
Latitude,-20.12611111111111
Longitude,-43.95027777777778
Codigo,2043043
Qtd. Anos,44
Ano,Maxima
1976,100.8
1977,64
1978,110
1979,112.3
1980,63.3
1981,91
1982,72
1983,100
1984,80
1985,90
1986,59
1987,88
1988,110
1989,85
1990,65
1991,105.4
1992,120
1993,60.3
1994,150.4
1995,156.3
1996,63.4
1997,145.3
1998,64.3
1999,51.3
2000,160
2001,91.8
2002,66.6
2003,99
2004,90.4
2005,77.6
2006,56.4
2007,80.2
2008,91.1
2009,67
2010,100.2
2011,88.2
2012,99.5
2013,97.7
2014,60
2015,55.4
2016,117.7
2017,77.5
2018,74.3
2019,67.4
