UF,MG
Cidade,COMENDADOR GOMES
Nome Posto,COMENDADOR GOMES
Latitude,-19.698055555555555
Longitude,-49.08388888888889
Codigo,1949005
Qtd. Anos,48
Ano,Maxima
1941,54.3
1942,77.6
1943,77.6
1975,50.4
1976,89.2
1977,90
1978,84.4
1979,125
1980,118
1981,96
1982,68.2
1983,109
1984,89
1985,76.3
1986,45.3
1987,87.4
1988,117.2
1989,106.4
1990,178.3
1991,112
1992,88.1
1993,86.9
1994,67
1995,94.3
1996,108
1997,90.3
1998,119
1999,74.4
2000,72
2001,54.2
2002,85.2
2003,65
2004,112.4
2005,104.5
2006,81
2007,77.2
2008,71.6
2009,100.2
2010,146.9
2011,74.4
2012,72.4
2013,88
2014,54.7
2015,59.5
2016,100
2017,99.4
2018,114.4
2019,95
