UF,MG
Cidade,FLORESTAL
Nome Posto,FAZENDA ESCOLA FLORESTAL
Latitude,-19.879722222222224
Longitude,-44.42166666666667
Codigo,1944007
Qtd. Anos,79
Ano,Maxima
1941,56.2
1942,72
1943,84.3
1944,78.2
1945,86
1946,90.1
1947,31
1948,35
1949,65
1950,80.1
1951,70.6
1952,56.2
1953,69.4
1954,66.4
1955,87.8
1956,60.2
1957,60.4
1958,71.5
1959,64.4
1960,130.4
1961,61.8
1962,80
1963,79.2
1964,153.2
1965,79.8
1966,70.2
1967,69.6
1968,60
1969,59.8
1970,49.9
1971,82.6
1972,50.2
1973,94
1974,68
1975,65.8
1976,104.6
1977,79.2
1978,91
1979,87
1980,61
1981,78
1982,150
1983,150
1984,66
1985,100
1986,60
1987,166
1988,68.7
1989,105.1
1990,80.1
1991,105
1992,115.2
1993,69
1994,84.4
1995,86.6
1996,121.2
1997,77
1998,50
1999,62
2000,102
2001,71.6
2002,51
2003,53.6
2004,60
2005,92.2
2006,101.2
2007,58
2008,98
2009,78.4
2010,110.6
2011,164
2012,70.6
2013,65
2014,118.2
2015,90
2016,102
2017,78.2
2018,112.4
2019,123.2
