UF,MG
Cidade,SACRAMENTO
Nome Posto,DESEMBOQUE
Latitude,-20.01361111111111
Longitude,-47.01916666666666
Codigo,2047037
Qtd. Anos,49
Ano,Maxima
1971,60.8
1972,100.8
1973,74
1974,60
1975,79.4
1976,51.6
1977,88.2
1978,121.4
1979,84.2
1980,66.3
1981,66.2
1982,106
1983,115.1
1984,61
1985,100
1986,69.4
1987,77.2
1988,73
1989,102.4
1990,54
1991,70.4
1992,150
1993,64.3
1994,48
1995,58.6
1996,72.4
1997,110.5
1998,67
1999,86.3
2000,110.7
2001,102.2
2002,65.5
2003,86.1
2004,79.2
2005,73.4
2006,69.2
2007,58.3
2008,112.7
2009,99.3
2010,97.3
2011,86.4
2012,79.2
2013,92.1
2014,41.6
2015,93.1
2016,95.9
2017,95.3
2018,57.3
2019,70.6
