UF,MG
Cidade,ITAUNA
Nome Posto,FAZENDA LARANJEIRAS - JUSANTE
Latitude,-20.102222222222224
Longitude,-44.484722222222224
Codigo,2044041
Qtd. Anos,44
Ano,Maxima
1976,26.6
1977,67.2
1978,82.6
1979,98
1980,78.6
1981,73
1982,82
1983,100
1984,80.8
1985,99.4
1986,104.2
1987,85
1988,57
1989,87
1990,78
1991,88.6
1992,110
1993,56
1994,97.8
1995,79.4
1996,112.5
1997,112
1998,65.7
1999,94.7
2000,78.7
2001,71.7
2002,120.8
2003,190.2
2004,77.4
2005,69.1
2006,65.2
2007,56.7
2008,76.7
2009,72.7
2010,63.5
2011,98
2012,72
2013,71
2014,48.8
2015,54.6
2016,68
2017,95.4
2018,55.6
2019,142.2
