UF,MG
Cidade,ITUIUTABA
Nome Posto,ITUIUTABA
Latitude,-18.941111111111113
Longitude,-49.463055555555556
Codigo,1849000
Qtd. Anos,53
Ano,Maxima
1967,50
1968,77
1969,104.5
1970,88.6
1971,75.2
1972,75.4
1973,75.6
1974,75.2
1975,94.3
1976,60
1977,120.2
1978,97.4
1979,141.6
1980,87.2
1981,56.2
1982,29.1
1983,52.9
1984,24.3
1985,74.2
1986,77
1987,85
1988,98.4
1989,68.2
1990,53
1991,102.2
1992,72
1993,52.4
1994,65.1
1995,71.8
1996,50
1997,61.2
1998,99.8
1999,91.2
2000,108.6
2001,108.4
2002,75.4
2003,96
2004,85.6
2005,120
2006,55.1
2007,63
2008,53.9
2009,49.4
2010,41.2
2011,58.9
2012,83
2013,90
2014,70.2
2015,70
2016,91
2017,80
2018,98
2019,57.2
