UF,MG
Cidade,MATEUS LEME
Nome Posto,BARRO PRETO
Latitude,-19.964166666666667
Longitude,-44.45194444444445
Codigo,1944026
Qtd. Anos,50
Ano,Maxima
1970,51.5
1971,103.2
1972,52.6
1973,65.8
1974,55
1975,71
1976,54
1977,72
1978,112
1979,74
1980,120
1981,133
1982,140
1983,82
1984,70
1985,72.2
1986,100
1987,100.2
1988,50
1989,114.2
1990,71.8
1991,60.8
1992,115
1993,77.2
1994,89
1995,97.4
1996,126.6
1997,106.6
1998,80.4
1999,64.8
2000,112.4
2001,91
2002,70.3
2003,129
2004,70.8
2005,82.7
2006,60.1
2007,69
2008,65.3
2009,100
2010,73
2011,84.3
2012,94
2013,165.5
2014,81.4
2015,60.1
2016,102.5
2017,63.2
2018,96
2019,73.5
