UF,MG
Cidade,RIO NOVO
Nome Posto,RIO NOVO
Latitude,-21.472499999999997
Longitude,-43.12111111111111
Codigo,2143018
Qtd. Anos,76
Ano,Maxima
1944,53
1945,75.4
1946,77
1947,63.4
1948,65.4
1949,62
1950,90.4
1951,60
1952,65.3
1953,45.4
1954,57.3
1955,82
1956,48
1957,81
1958,74.4
1959,86.4
1960,84
1961,63.2
1962,81.4
1963,84.5
1964,82.2
1965,87.4
1966,82.6
1967,66.7
1968,47.8
1969,122.6
1970,54.2
1971,60.2
1972,78.3
1973,66.4
1974,96.4
1975,73.4
1976,61.2
1977,87
1978,65.8
1979,99.2
1980,66.8
1981,93.2
1982,85.8
1983,128
1984,86.4
1985,80.2
1986,67.2
1987,45.4
1988,91.2
1989,86.3
1990,58.6
1991,85.8
1992,92.4
1993,51.2
1994,80.4
1995,48.8
1996,72
1997,88.2
1998,88.2
1999,64.8
2000,96.6
2001,63.9
2002,97.5
2003,104.3
2004,111.8
2005,100.8
2006,66.2
2007,117.2
2008,79.8
2009,58.6
2010,79.8
2011,103
2012,53.9
2013,66.2
2014,46.7
2015,52.6
2016,70.4
2017,67.3
2018,67.3
2019,59.8
