UF,MG
Cidade,POUSO ALTO
Nome Posto,POUSO ALTO
Latitude,-22.199166666666667
Longitude,-44.973333333333336
Codigo,2244071
Qtd. Anos,60
Ano,Maxima
1960,112
1961,53
1962,80
1963,51
1964,74
1965,51
1966,81
1967,49
1968,58.1
1969,67.4
1970,59.5
1971,74.4
1972,95.4
1973,78.2
1974,45.2
1975,139.2
1976,79.2
1977,66.4
1978,54.2
1979,132.4
1980,89
1981,107
1982,68
1983,75.2
1984,34.7
1985,81
1986,90.9
1987,56.6
1988,78.4
1989,57.4
1990,63.4
1991,98.6
1992,93.3
1993,59.2
1994,119.8
1995,84.4
1996,89.8
1997,63.3
1998,44.4
1999,70
2000,160.8
2001,51.9
2002,57.6
2003,36.6
2004,61.2
2005,101.5
2006,68.6
2007,79.2
2008,107.3
2009,87.4
2010,56.2
2011,73.4
2012,70.1
2013,77.4
2014,46.4
2015,84.2
2016,116.1
2017,50.4
2018,40.8
2019,71
