UF,MG
Cidade,SERRA DA SAUDADE
Nome Posto,BARRA DO FUNCHAL
Latitude,-19.39472222222222
Longitude,-45.88444444444444
Codigo,1945002
Qtd. Anos,73
Ano,Maxima
1941,59.1
1942,96.6
1943,75
1944,60.2
1945,52.2
1946,67.4
1947,130.4
1948,60.4
1949,48
1950,74
1951,88.2
1952,118.2
1953,77
1954,44.4
1955,37
1956,80
1957,49
1958,66.4
1963,28
1965,50
1967,25
1968,35.6
1969,66.2
1970,112
1971,75
1972,69
1973,60
1974,80
1975,43
1976,74.2
1977,70.4
1978,60.3
1979,80
1980,88
1981,68
1982,95.9
1983,93.9
1984,47.3
1985,62.2
1986,46
1987,95
1988,82.2
1989,64.1
1990,66.2
1991,78
1992,76
1993,69
1994,60.4
1995,90.6
1996,70.8
1997,120.4
1998,58.4
1999,83.6
2000,103
2001,66.8
2002,73
2003,53.4
2004,82.6
2005,76.4
2006,68.3
2007,64.5
2008,80.5
2009,159
2010,108.8
2011,92.1
2012,55.9
2013,88.8
2014,55.6
2015,67.3
2016,86.3
2017,70.6
2018,58.2
2019,60.2
