UF,MG
Cidade,UNAI
Nome Posto,FAZENDA LIMEIRA
Latitude,-16.20888888888889
Longitude,-47.2325
Codigo,1647008
Qtd. Anos,46
Ano,Maxima
1973,83.6
1974,47.1
1975,71.3
1976,80
1977,45
1978,64
1979,93.6
1980,100.2
1981,75.6
1982,100
1983,100.1
1984,92.3
1985,118.1
1986,78
1987,122
1988,98.4
1989,65
1990,47.5
1991,83.3
1992,83
1993,57.9
1994,90.9
1995,100
1997,77.3
1998,40.8
1999,50
2000,64.3
2001,79.4
2002,88.6
2003,67.4
2004,90.6
2005,198.6
2006,93.4
2007,79.8
2008,67
2009,91.2
2010,87
2011,73
2012,69.1
2013,68
2014,84.1
2015,69.7
2016,117
2017,62
2018,80.3
2019,56.4
