UF,MG
Cidade,MONTE ALEGRE DE MINAS
Nome Posto,XAPETUBA
Latitude,-18.8625
Longitude,-48.58388888888889
Codigo,1848009
Qtd. Anos,45
Ano,Maxima
1975,96
1976,54
1977,99.8
1978,125.3
1979,76.6
1980,125
1981,88.5
1982,146.2
1983,100.8
1984,60.4
1985,87
1986,59
1987,69.1
1988,83.1
1989,104.1
1990,97
1991,125
1992,63
1993,74.2
1994,78.9
1995,92.6
1996,77
1997,70
1998,86
1999,70.5
2000,72.7
2001,58.6
2002,68.5
2003,96.8
2004,78.5
2005,74.9
2006,103
2007,54
2008,84.7
2009,72
2010,56
2011,65.7
2012,56.5
2013,106.8
2014,55.2
2015,116.2
2016,70.3
2017,59.8
2018,150.4
2019,59.5
