UF,MG
Cidade,MATEUS LEME
Nome Posto,ESTIVA
Latitude,-20.00027777777778
Longitude,-44.461666666666666
Codigo,2044043
Qtd. Anos,43
Ano,Maxima
1977,91
1978,101.8
1979,75.8
1980,125.4
1981,70.2
1982,113.4
1983,100.4
1984,114.3
1985,79.2
1986,89.8
1987,75
1988,65.4
1989,75
1990,80.2
1991,55
1992,100.4
1993,48
1994,82.4
1995,115.4
1996,128.3
1997,96.2
1998,101.2
1999,57.2
2000,103.7
2001,78.2
2002,78.4
2003,68.3
2004,121.5
2005,75.3
2006,57.3
2007,86.2
2008,85.8
2009,68.3
2010,104.1
2011,118.2
2012,91.5
2013,76.3
2014,75.6
2015,67.3
2016,127.6
2017,74.6
2018,52.8
2019,69.2
