UF,MG
Cidade,SAO FRANCISCO DO GLORIA
Nome Posto,BICUIBA
Latitude,-20.769444444444442
Longitude,-42.301111111111105
Codigo,2042014
Qtd. Anos,58
Ano,Maxima
1962,60.4
1963,29
1964,44
1965,44
1966,57
1967,76
1968,53.6
1969,119
1970,135
1971,74.2
1972,92
1973,83
1974,50
1975,89
1976,48
1977,93
1978,144
1979,75
1980,73
1981,74
1982,100.2
1983,70
1984,60
1985,85
1986,70
1987,88.7
1988,48.3
1989,82
1990,133.1
1991,63.8
1992,95
1993,58.5
1994,90
1995,60
1996,100
1997,110
1998,76.7
1999,90
2000,75.3
2001,91.5
2002,79
2003,65.6
2004,83.9
2005,86
2006,136.3
2007,74.9
2008,96.7
2009,87.7
2010,76.1
2011,66.6
2012,61.2
2013,57.8
2014,62.1
2015,47.1
2016,70.7
2017,73.6
2018,71.7
2019,77.9
