UF,MG
Cidade,TRES CORACOES
Nome Posto,TRES CORACOES
Latitude,-21.72083333333333
Longitude,-45.26444444444444
Codigo,2145003
Qtd. Anos,59
Ano,Maxima
1941,67.1
1942,66
1943,75
1944,65
1945,127
1946,63.5
1947,162.5
1948,80
1969,46
1970,124.5
1971,129.7
1972,80
1973,81.2
1974,91
1975,39.1
1976,73
1977,80
1978,92.2
1979,82
1980,92.2
1981,100
1982,60.2
1983,128
1984,82
1985,111
1986,77.4
1987,79
1988,103.4
1989,82
1990,60.1
1991,102
1992,102
1993,57.1
1994,98.2
1995,70.5
1996,95.3
1997,82.3
1998,71.5
1999,62.2
2000,119.1
2001,69.1
2002,84.4
2003,62.2
2004,54.8
2005,94
2006,107.5
2007,66.4
2008,67
2009,101.4
2010,73.3
2011,93
2012,75.1
2013,116.6
2014,62.4
2015,64.5
2016,53.6
2017,93.5
2018,61.3
2019,38.6
