UF,MG
Cidade,SAO JOAO DEL REI
Nome Posto,USINA SAO JOAO DEL REI
Latitude,-21.055555555555557
Longitude,-44.20888888888889
Codigo,2144020
Qtd. Anos,58
Ano,Maxima
1962,111.6
1963,55.6
1964,53.2
1965,105.6
1966,110.1
1967,210
1968,84.3
1969,78.2
1970,72.5
1971,112.5
1972,52.2
1973,65.5
1974,94
1975,72.4
1976,75.2
1977,66.5
1978,79
1979,97
1980,92.2
1981,60.3
1982,55.3
1983,76.2
1984,75.4
1985,55.6
1986,108.8
1987,98.8
1988,55.2
1989,39
1990,85.2
1991,74.2
1992,96
1993,63.8
1994,70.3
1995,61.2
1996,91.2
1997,66.7
1998,66.4
1999,57.8
2000,68.8
2001,61.2
2002,49.8
2003,106.2
2004,104.6
2005,92.1
2006,62.1
2007,72.4
2008,93.3
2009,74.7
2010,77.3
2011,81.9
2012,190.5
2013,86.9
2014,85.4
2015,103.9
2016,82.3
2017,74.1
2018,84.9
2019,109.7
