UF,MG
Cidade,VOLTA GRANDE
Nome Posto,VOLTA GRANDE
Latitude,-21.769166666666667
Longitude,-42.53972222222222
Codigo,2142008
Qtd. Anos,59
Ano,Maxima
1962,63.1
1963,72
1964,64.9
1965,64.8
1966,145.8
1967,70.2
1968,47.4
1969,62.6
1970,48
1971,58
1972,106
1973,86
1974,89
1975,55
1976,68
1977,60
1978,101
1979,63
1980,81
1981,67
1982,82
1983,70
1984,58
1985,75
1986,89
1987,63.4
1988,95
1989,120.8
1990,81.4
1991,167
1992,76
1993,105
1994,83
1995,86
1996,80.4
1997,77.5
1998,79.5
1999,74.4
2000,95.1
2001,78
2002,57.4
2003,82.1
2004,80.5
2005,133
2006,77.5
2007,90.7
2008,95
2009,101.6
2010,88
2011,64.4
2012,74.9
2013,96.2
2014,88.2
2015,71.1
2016,86.7
2017,53.9
2018,116.4
2019,96.6
2020,80.3
