UF,MG
Cidade,CONCEICAO DOS OUROS
Nome Posto,CONCEICAO DOS OUROS
Latitude,-22.414166666666667
Longitude,-45.79083333333333
Codigo,2245066
Qtd. Anos,78
Ano,Maxima
1941,68.8
1942,73.6
1943,53.2
1944,65.2
1945,117.2
1946,65.2
1947,77.2
1948,62.6
1949,74.2
1950,77.6
1951,48.8
1952,58.8
1953,48.2
1954,104.6
1955,78.8
1956,50.2
1957,84.2
1958,63.8
1959,67
1960,100.6
1961,111
1962,75
1963,114
1964,158.8
1965,70.2
1966,133.2
1967,73.5
1968,58.8
1969,67
1970,80.6
1971,69.6
1972,54.4
1973,79.2
1974,74
1975,85
1976,93.2
1977,81
1978,79
1979,89
1980,79.2
1981,89
1982,59.4
1983,91.4
1984,39.6
1985,90.6
1986,51.6
1987,50.6
1988,68.4
1989,52
1990,25
1991,25
1992,804
1993,25
1994,48
1995,50
1997,51
1998,73
1999,55.5
2000,150.6
2001,54
2002,78
2003,50.8
2004,90.8
2005,74.8
2006,60.7
2007,56.4
2008,78
2009,64.9
2010,68.5
2011,201
2012,56.5
2013,66
2014,66
2015,53.3
2016,97.6
2017,81.2
2018,38.5
2019,39.5
