UF,MG
Cidade,MATEUS LEME
Nome Posto,JUATUBA
Latitude,-19.955555555555556
Longitude,-44.33444444444444
Codigo,1944027
Qtd. Anos,48
Ano,Maxima
1970,111.6
1971,69.6
1972,67
1973,115.6
1974,78
1975,57
1976,90.4
1977,44.7
1978,91.7
1979,108
1980,64.4
1981,93.9
1982,102.8
1983,93.4
1984,90
1985,140.6
1986,71.4
1987,124.7
1988,65
1989,95.5
1990,45.8
1993,58
1994,101.4
1995,110
1996,88.6
1997,99
1998,72
1999,57.8
2000,113.4
2001,69.7
2002,83
2003,101.2
2004,99.7
2005,71.1
2006,55.5
2007,90.6
2008,72.3
2009,77.2
2010,62.4
2011,122.4
2012,84.6
2013,63.4
2014,69.1
2015,67.8
2016,97.5
2017,72.3
2018,138.9
2019,75.2
