UF,MG
Cidade,CARANDAI
Nome Posto,CARANDAI
Latitude,-20.95583333333333
Longitude,-43.80083333333333
Codigo,2043018
Qtd. Anos,77
Ano,Maxima
1941,42.2
1942,58.4
1943,80
1944,56
1945,57.6
1946,47
1947,57
1948,67.4
1949,66.8
1950,52.2
1951,70.4
1952,72.6
1953,50.6
1954,79.4
1955,62
1956,75.6
1957,72.4
1958,50.6
1959,53.2
1960,57.6
1961,82
1962,70.2
1963,68.6
1964,55.2
1965,65.6
1966,91
1967,115
1968,121.8
1969,91.4
1970,95
1971,113.2
1972,81
1973,57
1974,70
1975,80
1976,63.1
1977,64.7
1978,125.1
1979,109.5
1980,60
1981,107
1982,83
1983,95
1984,65
1985,78.2
1986,66
1987,61.3
1988,86.2
1989,89
1990,55
1993,100.5
1994,100.5
1995,68.6
1996,85.7
1997,86
1998,57.7
1999,53.1
2000,90
2001,53.4
2002,62.1
2003,53
2004,143
2005,82.2
2006,91
2007,122
2008,133
2009,140.3
2010,64.2
2011,231
2012,105.1
2013,55.9
2014,77.6
2015,103.1
2016,93.8
2017,51.6
2018,48.8
2019,78.2
