UF,MG
Cidade,AGUAS VERMELHAS
Nome Posto,ITAMARATI
Latitude,-15.580833333333333
Longitude,-41.40861111111111
Codigo,1541010
Qtd. Anos,44
Ano,Maxima
1976,99.3
1977,54.4
1978,71.3
1979,125.7
1980,128.4
1981,118.9
1982,37
1983,83.3
1984,58.5
1985,68
1986,93.3
1987,50
1988,68.1
1989,49
1990,56
1991,50
1992,79
1993,35
1994,69.7
1995,86
1996,42.7
1997,64.9
1998,112.5
1999,63.1
2000,90.9
2001,38
2002,84.6
2003,38.3
2004,94
2005,63.4
2006,99.1
2007,47.9
2008,96.9
2009,145.6
2010,56.8
2011,42
2012,97.3
2013,65.4
2014,65.5
2015,47.8
2016,109
2017,58.2
2018,73
2019,62
