UF,MG
Cidade,IGUATAMA
Nome Posto,IGUATAMA
Latitude,-20.17888888888889
Longitude,-45.70027777777778
Codigo,2045002
Qtd. Anos,77
Ano,Maxima
1941,63.6
1942,61
1943,62
1944,58.4
1946,61
1947,142
1948,103
1949,95
1950,88
1951,63
1952,100
1953,47
1954,55
1955,57.8
1956,103
1957,71.6
1958,53.4
1959,65.6
1960,107
1962,71
1963,48.4
1964,74.4
1965,100
1966,89
1967,50.6
1968,67.2
1969,71
1970,53
1971,64.2
1972,59
1973,95
1974,69.2
1975,104.2
1976,65
1977,63.2
1978,74.2
1979,55.8
1980,66.4
1981,92.2
1982,84.4
1983,165
1984,71.1
1985,84.6
1986,95.2
1987,57.5
1988,94.8
1989,78
1990,93.4
1991,112.4
1992,134.3
1993,93.5
1994,74.5
1995,56.5
1996,107.5
1997,122.1
1998,89.6
1999,66.1
2000,84.5
2001,53.1
2002,72.8
2003,63.3
2004,119.8
2005,66.5
2006,56.5
2007,52.9
2008,103.8
2009,62.5
2010,71.3
2011,105
2012,100.3
2013,104.4
2014,71.2
2015,91.2
2016,48.8
2017,57.6
2018,105.2
2019,70.2
