UF,MG
Cidade,PIRANGA
Nome Posto,PIRANGA
Latitude,-20.690555555555555
Longitude,-43.29944444444444
Codigo,2043010
Qtd. Anos,76
Ano,Maxima
1941,110.1
1942,71.2
1943,65.6
1944,61
1945,72.2
1946,60.2
1947,82
1948,128
1949,60
1950,66.6
1954,63.3
1955,60
1956,52.9
1957,80.2
1958,40.5
1959,70.2
1960,42.3
1961,32.2
1962,32.3
1963,25.3
1964,62.6
1965,132
1966,111
1967,100
1968,52.6
1969,76.1
1970,68.2
1971,61
1972,72.3
1973,61
1974,56.4
1975,82.1
1976,73.3
1977,68.3
1978,89
1979,121.4
1980,73
1981,133.2
1982,108.3
1983,72.4
1984,59.2
1985,97.3
1986,92.2
1987,88
1988,83.2
1989,120
1990,68.2
1991,128
1992,83.2
1993,63.2
1994,69
1995,80
1996,86
1997,98.3
1998,117
1999,77
2000,74.5
2001,70.7
2002,70.6
2003,79.6
2004,65.7
2005,64.5
2006,77.1
2007,72
2008,152.8
2009,50.3
2010,75
2011,71.3
2012,101.3
2013,67.7
2014,77.9
2015,62.7
2016,84.4
2017,79
2018,87.2
2019,41.7
