UF,MG
Cidade,NOVA LIMA
Nome Posto,RIO DO PEIXE (MMV)
Latitude,-20.137777777777778
Longitude,-43.8925
Codigo,2043004
Qtd. Anos,78
Ano,Maxima
1941,57
1942,71.1
1943,78.5
1944,76.7
1945,100.6
1946,78.5
1947,72.4
1948,111.8
1949,91.4
1950,66.5
1951,100.6
1952,104.6
1953,89.4
1954,86.1
1955,159
1956,86.1
1957,117.6
1958,92.4
1959,90.9
1960,70.1
1961,91.4
1962,80.8
1963,59.7
1964,92.5
1965,69.6
1966,76.2
1967,76.2
1968,72.4
1969,71.1
1970,79.8
1971,180.3
1972,99
1973,90.2
1974,65.2
1975,48
1976,92
1977,72
1978,125
1979,105.4
1980,72.9
1981,90
1982,70
1983,104.6
1984,60.6
1985,59.2
1986,75.4
1987,102.4
1988,104
1989,94.1
1990,54
1991,67.3
1992,120.2
1993,83.2
1994,180.6
1995,223.5
1996,68.6
1997,130.4
1998,83.4
1999,69.4
2000,145.3
2001,82.4
2002,70.5
2003,111.1
2004,68.5
2005,78.8
2006,75.3
2007,81.5
2008,140.3
2009,86.1
2010,82.6
2011,91.8
2012,107.9
2013,72.2
2014,103.3
2015,67.9
2016,149.4
2017,84.4
2018,55
