UF,MG
Cidade,ABADIA DOS DOURADOS
Nome Posto,ABADIA DOS DOURADOS
Latitude,-18.491111111111113
Longitude,-47.406388888888884
Codigo,1847003
Qtd. Anos,74
Ano,Maxima
1946,118
1947,94
1948,80
1949,90
1950,84.9
1951,69.4
1952,51.5
1953,63.7
1954,117.7
1955,90.2
1956,84.5
1957,81.4
1958,62.1
1959,66.6
1960,65.5
1961,105.3
1962,115.7
1963,64
1964,37.8
1965,73.8
1966,100.4
1967,75
1968,75
1969,70
1970,78
1971,93.3
1972,89.3
1973,63.4
1974,60
1975,469.6
1976,74
1977,73.3
1978,115
1979,80.2
1980,102
1981,67
1982,90
1983,90
1984,83
1985,115
1986,87.2
1987,58
1988,67.4
1989,103
1990,74.2
1991,62
1992,77
1993,63.3
1994,86
1995,65.3
1996,79.1
1997,120
1998,61
1999,60.4
2000,67
2001,108.8
2002,76
2003,66.4
2004,60.5
2005,75.2
2006,59.5
2007,73.3
2008,67
2009,55.8
2010,95
2011,90
2012,107.6
2013,90.3
2014,90.3
2015,65.8
2016,62
2017,50.2
2018,78.4
2019,87.3
