UF,MG
Cidade,IBIRITE
Nome Posto,IBIRITE
Latitude,-20.04277777777778
Longitude,-44.04333333333333
Codigo,2044012
Qtd. Anos,71
Ano,Maxima
1945,63
1946,65
1947,65
1948,66.5
1949,115.9
1950,71.4
1951,63.4
1952,70
1953,62
1954,81
1955,85.6
1956,64.2
1957,107.4
1958,63
1959,64.6
1960,74
1961,99.8
1962,87.8
1963,56.8
1964,100
1965,69.8
1966,77.4
1967,53
1968,77.4
1969,104
1970,75.3
1971,79.3
1972,59.4
1973,91.4
1974,66.2
1975,65.5
1976,81
1977,117
1978,107
1979,144.4
1980,102.3
1981,96.2
1982,81.6
1983,90.4
1984,107.8
1985,117.4
1986,61.2
1987,132.2
1988,73
1989,85.4
1990,57.3
1991,129.4
1992,149.6
1993,66.6
1994,75
1995,196.2
1996,120
1997,148.5
1998,63.9
1999,67.5
2000,126
2001,78.9
2002,86.1
2003,206.1
2004,100
2005,91.7
2006,89.2
2007,61.8
2008,111.2
2009,104.2
2010,84.9
2011,113
2012,88
2013,75.4
2014,82.4
2015,51.5
