UF,MG
Cidade,BURITIZEIRO
Nome Posto,CACHOEIRA DO PAREDAO
Latitude,-17.111111111111114
Longitude,-45.437777777777775
Codigo,1745001
Qtd. Anos,53
Ano,Maxima
1967,63.4
1968,83
1969,97.9
1970,58.9
1971,49.4
1972,68
1973,57.3
1974,55.7
1975,72.8
1976,80.3
1977,104.2
1978,97.6
1979,99
1980,150.1
1981,133
1982,86
1983,93
1984,65
1985,67
1986,60.3
1987,81
1988,83
1989,98
1990,54.9
1991,147.7
1992,80.5
1993,84.5
1994,75.9
1995,85.2
1996,116.2
1997,144.6
1998,67.7
1999,74.3
2000,84
2001,49.7
2002,97.8
2003,87.8
2004,83.5
2005,96.7
2006,65.9
2007,149.5
2008,74.5
2009,82
2010,69.9
2011,147.9
2012,78.3
2013,84.6
2014,52.5
2015,50.8
2016,64.9
2017,95.2
2018,27.6
2019,70.7
