UF,MG
Cidade,UMBURATIBA
Nome Posto,SAO PEDRO DO PAMPA
Latitude,-17.32027777777778
Longitude,-40.67611111111111
Codigo,1740026
Qtd. Anos,42
Ano,Maxima
1977,94.4
1978,88
1979,60.2
1980,65.2
1981,96.2
1982,37.3
1983,87.1
1984,48.8
1985,82.4
1986,54.8
1987,47.2
1989,13
1990,181
1991,45
1992,72.4
1993,42
1994,58
1995,68.3
1996,50.2
1997,39
1998,153
1999,59
2000,89.5
2001,78
2002,92
2003,48
2004,86.3
2005,82.4
2006,81.2
2007,70
2008,100.2
2009,78.5
2010,88
2011,82
2012,113.2
2013,88.3
2014,99.4
2015,58.3
2016,124
2017,104.3
2018,93.4
2019,78.3
