UF,MG
Cidade,LAVRAS
Nome Posto,USINA COURO DO CERVO
Latitude,-21.34361111111111
Longitude,-45.17027777777778
Codigo,2145007
Qtd. Anos,79
Ano,Maxima
1941,76.8
1942,78.8
1943,80.8
1944,56.2
1945,101.6
1946,60
1947,87.2
1948,110.4
1949,72.6
1950,109.6
1951,58
1952,68.2
1953,50.2
1954,55
1955,82.4
1956,79.2
1957,158
1958,59
1959,86.2
1960,66.4
1961,70.6
1962,73
1963,56.2
1964,79.4
1965,58.8
1966,139.3
1967,61.4
1968,78
1969,128.8
1970,110.2
1971,69.3
1972,70.4
1973,71.3
1974,43
1975,73.1
1976,51.6
1977,87.1
1978,75
1979,59
1980,80.2
1981,72.2
1982,63.2
1983,122.3
1984,61.2
1985,70.1
1986,125.3
1987,112.3
1988,98
1989,60
1990,56.3
1991,81
1992,100.1
1993,51.4
1994,77
1995,75
1996,147.4
1997,85.3
1998,81.4
1999,64.2
2000,85.7
2001,79.5
2002,57.4
2003,53.4
2004,63
2005,74.1
2006,97.6
2007,76.6
2008,74.3
2009,84.2
2010,100
2011,80.8
2012,72
2013,190
2014,84.7
2015,59
2016,89.1
2017,92.5
2018,63.4
2019,61
