UF,MG
Cidade,MONTES CLAROS
Nome Posto,SAO JOAO DA VEREDA
Latitude,-16.7025
Longitude,-44.117222222222225
Codigo,1644028
Qtd. Anos,45
Ano,Maxima
1975,55
1976,66.3
1977,106
1978,100.8
1979,100.6
1980,100.2
1981,70.2
1982,57
1983,60.4
1984,74.2
1985,80.7
1986,77.8
1987,69.2
1988,93.8
1989,73.4
1990,90.2
1991,123.4
1992,97.4
1993,60.6
1994,70.6
1995,60.8
1996,54.4
1997,186.6
1998,81.4
1999,75.4
2000,84.3
2001,52.5
2002,74.6
2003,51
2004,63.7
2005,95.6
2006,100.7
2007,114.3
2008,87
2009,64.3
2010,78.3
2011,77.2
2012,61.4
2013,64.8
2014,56
2015,42.1
2016,102.3
2017,46.6
2018,86.6
2019,131.3
