UF,MG
Cidade,PARACATU
Nome Posto,SANTA ROSA
Latitude,-17.255277777777778
Longitude,-46.473888888888894
Codigo,1746002
Qtd. Anos,55
Ano,Maxima
1962,84.2
1963,58.2
1964,112
1968,80.3
1969,171
1970,74
1971,84.2
1972,58.4
1973,95.3
1974,88.2
1975,78
1976,70.4
1977,86.2
1978,75.4
1979,57.2
1980,127.2
1981,55
1982,75.2
1983,95.2
1984,80.2
1985,63.4
1986,63.4
1987,87
1988,85.1
1989,98
1990,70.4
1991,100.6
1992,147
1993,89.5
1994,86
1995,65
1996,51
1997,63.2
1998,68.4
1999,82.4
2000,90.6
2001,53.8
2002,52.4
2003,58.2
2004,78.8
2005,86.2
2006,64.8
2007,102
2008,79.2
2009,71.6
2010,88.3
2011,92.8
2012,178.2
2013,80.1
2014,62.8
2015,70.2
2016,92.8
2017,72.3
2018,172
2019,88.8
