UF,MG
Cidade,PADRE PARAISO
Nome Posto,PADRE PARAISO
Latitude,-17.072777777777777
Longitude,-41.48305555555556
Codigo,1741013
Qtd. Anos,44
Ano,Maxima
1976,54.8
1977,50
1978,77
1979,67.8
1980,46.1
1981,70
1982,100.5
1983,34
1984,92.8
1985,73
1986,42
1987,70.1
1988,80
1989,44
1990,95.4
1991,50
1992,65.9
1993,75.6
1994,83.2
1995,67.6
1996,70.5
1997,67.6
1998,88
1999,54
2000,92.2
2001,61
2002,77.7
2003,42.7
2004,76.1
2005,47.8
2006,91.5
2007,46.8
2008,49.5
2009,125.3
2010,47.7
2011,70.3
2012,83.7
2013,104
2014,58
2015,39.4
2016,135
2017,76
2018,68.2
2019,51
