UF,MG
Cidade,PATOS DE MINAS
Nome Posto,SANTANA DE PATOS
Latitude,-18.84111111111111
Longitude,-46.55083333333333
Codigo,1846007
Qtd. Anos,54
Ano,Maxima
1966,60.8
1967,52
1968,92.7
1969,165
1970,99.2
1971,88
1972,105
1973,64
1974,58
1975,150
1976,68.8
1977,79.2
1978,148
1979,80.2
1980,72.2
1981,79.3
1982,96.4
1983,128.4
1984,112.6
1985,78.4
1986,84.8
1987,84.6
1988,60.4
1989,57.6
1990,80.2
1991,125.2
1992,110.8
1993,59.4
1994,59
1995,88.6
1996,129.2
1997,72.6
1998,62.6
1999,71.2
2000,96.1
2001,69
2002,62.4
2003,70.6
2004,73.6
2005,77.9
2006,89.5
2007,71.6
2008,86.5
2009,67.8
2010,91.3
2011,83
2012,67.9
2013,57.2
2014,49.3
2015,66.9
2016,82.5
2017,70.6
2018,115.2
2019,59.8
