UF,MG
Cidade,ITAOBIM
Nome Posto,ITAOBIM
Latitude,-16.56833333333333
Longitude,-41.503055555555555
Codigo,1641001
Qtd. Anos,72
Ano,Maxima
1948,66
1949,69
1950,63
1951,42
1952,74
1953,72
1954,72
1955,74
1956,71
1957,73
1958,78
1959,72
1960,74
1961,63.3
1962,62.2
1963,53.8
1964,66.6
1965,100.4
1966,33.6
1967,52.6
1968,92.2
1969,43.2
1970,32
1971,89.7
1972,30.4
1973,112.7
1974,62.4
1975,62.8
1976,59.3
1977,61.2
1978,77.9
1979,79.1
1980,57.3
1981,70.1
1982,51
1983,114
1984,60.7
1985,51.2
1986,43
1987,52.1
1988,40
1989,74.3
1990,69.2
1991,53.8
1992,57.3
1993,43.8
1994,69.3
1995,95
1996,70.4
1997,98.9
1998,69.8
1999,54
2000,126.2
2001,73.1
2002,115.6
2003,75.1
2004,59.5
2005,68.9
2006,113.7
2007,61
2008,57.9
2009,71.2
2010,65.6
2011,80.4
2012,92.6
2013,46.4
2014,41.5
2015,69.4
2016,81.7
2017,100.4
2018,47.3
2019,35.4
