UF,MG
Cidade,SAO ROMAO
Nome Posto,BARRA DO ESCURO
Latitude,-16.26861111111111
Longitude,-45.23777777777778
Codigo,1645003
Qtd. Anos,64
Ano,Maxima
1955,70.4
1956,74.6
1957,77.7
1958,69.1
1959,79
1960,85.1
1961,63.2
1962,82.8
1963,56.1
1964,110.5
1965,75
1966,68
1967,81.9
1968,57.5
1969,95.2
1970,91.6
1971,101.1
1972,121
1973,62.3
1974,61.3
1975,74
1976,72
1977,90.4
1978,61.3
1979,100.4
1980,82.2
1981,85.2
1982,51.3
1983,63
1984,55
1985,88.2
1986,116
1987,74.9
1988,85
1989,71.2
1990,65.1
1991,102.3
1992,68.7
1993,51.2
1994,81.8
1996,58.8
1997,118.1
1998,97.9
1999,97.3
2000,70
2001,43.7
2002,92.1
2003,83.9
2004,67.3
2005,74.3
2006,68.6
2007,73.6
2008,71.3
2009,57.3
2010,58
2011,81
2012,43
2013,115.4
2014,45.4
2015,57.4
2016,69.8
2017,108.5
2018,63.3
2019,44.2
