UF,MG
Cidade,CRISTINA
Nome Posto,CRISTINA - MONTANTE
Latitude,-22.210277777777776
Longitude,-45.26583333333333
Codigo,2245065
Qtd. Anos,79
Ano,Maxima
1941,66.2
1942,102
1943,73.6
1944,54.2
1945,99.8
1946,92
1947,101.6
1948,80.4
1949,91.4
1950,80.7
1951,50.9
1952,52
1953,72.2
1954,55.8
1955,93.2
1956,58.2
1957,78.3
1958,96.4
1959,87.2
1960,93.6
1961,76.8
1962,78.4
1963,82.8
1964,89
1965,86
1966,66.4
1967,75.5
1968,95.5
1969,80.7
1970,70
1971,80
1972,110
1973,109
1974,42.2
1975,61.6
1976,138
1977,84.5
1978,57
1979,38.5
1980,75
1981,69.4
1982,64.5
1983,100.2
1984,46.3
1985,92.4
1986,148.8
1987,67.4
1988,65.2
1989,88.2
1990,61
1991,111.8
1992,95.8
1993,171.4
1994,152.4
1995,123.6
1996,101.4
1997,46.9
1998,52.5
1999,125.6
2000,167.9
2001,75.4
2002,87.8
2003,68.2
2004,59.6
2005,213.3
2006,121.6
2007,74.8
2008,270
2009,84.2
2010,63
2011,125.6
2012,57.8
2013,58.2
2014,139
2015,81.8
2016,88.1
2017,54.6
2018,78.5
2019,55.3
