UF,MG
Cidade,NANUQUE
Nome Posto,NANUQUE - MONTANTE
Latitude,-17.8375
Longitude,-40.37722222222222
Codigo,1740001
Qtd. Anos,76
Ano,Maxima
1942,89
1943,76
1944,85
1945,82
1946,44.3
1947,96
1950,64.9
1951,77
1952,94
1953,57
1954,28.6
1955,86.2
1956,99.3
1957,87
1958,95
1959,48
1960,47.2
1961,62.3
1962,68.6
1963,96
1964,128.8
1965,148.6
1966,29.4
1967,34.8
1968,105.6
1969,75
1970,87.8
1971,82
1972,43
1973,59.6
1974,88.2
1975,83.4
1976,54.2
1977,62.8
1978,87.6
1979,100.1
1980,72.2
1981,73
1982,68.2
1983,57.2
1984,125
1985,86
1986,76.6
1987,55.1
1988,78.4
1989,70.1
1990,92.4
1991,99.2
1992,59.2
1993,46
1994,93.2
1995,64
1996,46
1997,138
1998,71.4
1999,60
2000,115
2001,88
2002,156.2
2003,69.7
2004,53
2005,62.5
2006,85.3
2007,60
2008,85
2009,102.5
2010,132.2
2011,49
2012,67.6
2013,100.1
2014,93.5
2015,62.3
2016,97.5
2017,117
2018,83
2019,125
