UF,MG
Cidade,BAEPENDI
Nome Posto,USINA CONGONHAL
Latitude,-22.121111111111112
Longitude,-44.8425
Codigo,2244054
Qtd. Anos,79
Ano,Maxima
1941,47
1942,67
1943,85
1944,63.6
1945,76.3
1946,84.2
1947,84
1948,62
1949,63.8
1950,68
1951,48
1952,72
1953,71
1954,93
1955,73
1956,77
1957,61
1958,66
1959,77
1960,77
1961,79
1962,95
1963,67
1964,73
1965,67
1966,26
1967,60
1968,42
1969,82
1970,37
1971,250
1972,25
1973,65.2
1974,59.3
1975,77
1976,63
1977,91.6
1978,57.4
1979,117
1980,85.5
1981,83.2
1982,75.2
1983,90
1984,84
1985,83.6
1986,85.6
1987,133
1988,72
1989,79.4
1990,65
1991,160.8
1992,80.5
1993,60.7
1994,132
1995,83.3
1996,74.5
1997,55.5
1998,86.5
1999,162.1
2000,193.2
2001,86.6
2002,110.6
2003,81.1
2004,97.7
2005,110
2006,85
2007,85.5
2008,155.5
2009,48.8
2010,120.9
2011,86.8
2012,135.5
2013,114.9
2014,45.5
2015,81.1
2016,104.3
2017,90.3
2018,55.5
2019,35.5
