UF,MG
Cidade,MATIPO
Nome Posto,MATIPO
Latitude,-20.27722222222222
Longitude,-42.32555555555556
Codigo,2042017
Qtd. Anos,53
Ano,Maxima
1967,38.4
1968,52.8
1969,80.4
1970,25.4
1971,75.4
1972,88
1973,42
1974,78
1975,55.1
1976,78
1977,79.2
1978,90.3
1979,93.4
1980,77
1981,80
1982,47.4
1983,89.2
1984,66.2
1985,137.4
1986,47.4
1987,47.8
1988,70
1989,67.4
1990,76
1991,89
1992,72
1993,47.3
1994,86.3
1995,41.7
1996,78.3
1997,92.6
1998,62
1999,74
2000,103.4
2001,93.7
2002,112.1
2003,102.6
2004,81.5
2005,112.7
2006,62.3
2007,57.5
2008,125
2009,90.8
2010,71.1
2011,105.4
2012,85.6
2013,76.4
2014,57.7
2015,56
2016,84.5
2017,74.8
2018,68.3
2019,90.8
