UF,MG
Cidade,SANTA BARBARA
Nome Posto,SANTA BARBARA
Latitude,-19.94527777777778
Longitude,-43.401111111111106
Codigo,1943007
Qtd. Anos,79
Ano,Maxima
1941,55.6
1942,63
1943,116.8
1944,106.4
1945,110.4
1946,131
1947,65.2
1948,150.2
1949,46.4
1950,82.4
1951,128.7
1952,79.2
1953,78.1
1954,60.1
1955,70.2
1956,72.4
1957,56.4
1958,108.2
1959,64.4
1960,78.1
1961,110.1
1962,86.3
1963,51.6
1964,85
1965,93.4
1966,108.1
1967,84.4
1968,102.2
1969,116.4
1970,53.1
1971,65.4
1972,94.4
1973,81.4
1974,78.1
1975,64.4
1976,79.1
1977,136.2
1978,101.2
1979,66.4
1980,14
1981,24
1982,41.2
1983,71.8
1984,78
1985,100
1986,44
1987,102.2
1988,75.5
1989,64
1990,50
1991,77
1992,83
1993,40
1994,87
1995,54
1996,78.7
1997,103.7
1998,101.5
1999,79.5
2000,88.9
2001,93.8
2002,98.5
2003,112.2
2004,60.2
2005,100.1
2006,100.5
2007,56.4
2008,85.3
2009,91.3
2010,68.7
2011,88.7
2012,102.7
2013,107.6
2014,67.7
2015,88.1
2016,127.9
2017,71.4
2018,81.9
2019,85.3
